UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
105899,11,216,53,3,160,,2024
105899,12,40,23,7,10,Graduate,2024
106041,1,1957,,,1957,All Students,2024
106041,2,1957,,,1957,Undergrad,2024
106041,3,1957,,,1957,,2024
106148,1,7428,2229,1377,3822,All Students,2024
106148,2,7428,2229,1377,3822,Undergrad,2024
106148,3,3988,1799,975,1214,,2024
106148,11,3440,430,402,2608,,2024
106245,1,8216,3105,2490,2621,All Students,2024
106245,2,5939,2121,2047,1771,Undergrad,2024
106245,3,4949,2098,2031,820,,2024
106245,11,990,23,16,951,,2024
106245,12,2277,984,443,850,Graduate,2024
106263,1,3485,1286,502,1697,All Students,2024
106263,2,1589,1085,194,310,Undergrad,2024
106263,3,1571,1069,192,310,,2024
106263,11,18,16,2,0,,2024
106263,12,1896,201,308,1387,Graduate,2024
106306,1,342,13,121,208,All Students,2024
106306,2,342,13,121,208,Undergrad,2024
106306,3,342,13,121,208,,2024
106315,1,106,,,106,All Students,2024
106315,2,106,,,106,Undergrad,2024
106315,3,106,,,106,,2024
106324,1,61,,,61,All Students,2024
106324,2,61,,,61,Undergrad,2024
106324,3,61,,,61,,2024
106342,1,659,1,66,592,All Students,2024
106342,2,657,1,66,590,Undergrad,2024
106342,3,648,1,66,581,,2024
106342,11,9,0,0,9,,2024
106342,12,2,0,0,2,Graduate,2024
106351,1,123,,,123,All Students,2024
106351,2,123,,,123,Undergrad,2024
106351,3,123,,,123,,2024
106397,1,33610,3371,8312,21927,All Students,2024
106397,2,28859,1760,7993,19106,Undergrad,2024
106397,3,28677,1729,7989,18959,,2024
106397,11,182,31,4,147,,2024
106397,12,4751,1611,319,2821,Graduate,2024
106412,1,2005,138,1320,547,All Students,2024
106412,2,1817,76,1282,459,Undergrad,2024
106412,3,1807,74,1281,452,,2024
106412,11,10,2,1,7,,2024
106412,12,188,62,38,88,Graduate,2024
106449,1,3277,891,830,1556,All Students,2024
106449,2,3277,891,830,1556,Undergrad,2024
106449,3,1986,676,693,617,,2024
106449,11,1291,215,137,939,,2024
106458,1,15726,7752,3350,4624,All Students,2024
106458,2,9985,2824,3216,3945,Undergrad,2024
106458,3,9110,2617,3116,3377,,2024
106458,11,875,207,100,568,,2024
106458,12,5741,4928,134,679,Graduate,2024
106467,1,8746,2239,2821,3686,All Students,2024
106467,2,8145,1872,2692,3581,Undergrad,2024
106467,3,5388,897,2563,1928,,2024
106467,11,2757,975,129,1653,,2024
106467,12,601,367,129,105,Graduate,2024
106485,1,2856,689,1258,909,All Students,2024
106485,2,2457,327,1247,883,Undergrad,2024
106485,3,1933,327,1247,359,,2024
106485,11,524,0,0,524,,2024
106485,12,399,362,11,26,Graduate,2024
106494,1,29,,,29,All Students,2024
106494,2,29,,,29,Undergrad,2024
106494,3,29,,,29,,2024
106546,1,583,0,0,583,All Students,2024
106546,2,583,0,0,583,Undergrad,2024
106546,3,569,0,0,569,,2024
106546,11,14,0,0,14,,2024
106625,1,1705,465,504,736,All Students,2024
106625,2,1705,465,504,736,Undergrad,2024
106625,3,903,309,314,280,,2024
106625,11,802,156,190,456,,2024
106704,1,10112,1352,3426,5334,All Students,2024
106704,2,8268,488,3182,4598,Undergrad,2024
106704,3,7762,460,3172,4130,,2024
106704,11,506,28,10,468,,2024
106704,12,1844,864,244,736,Graduate,2024
106713,1,547,47,190,310,All Students,2024
106713,2,547,47,190,310,Undergrad,2024
106713,3,484,45,190,249,,2024
106713,11,63,2,0,61,,2024
106795,1,1312,351,485,476,All Students,2024
106795,2,1312,351,485,476,Undergrad,2024
106795,3,772,181,345,246,,2024
106795,11,540,170,140,230,,2024
106810,1,241,6,41,194,All Students,2024
106810,2,241,6,41,194,Undergrad,2024
106810,3,165,0,41,124,,2024
106810,11,76,6,0,70,,2024
106883,1,1401,586,288,527,All Students,2024
106883,2,1401,586,288,527,Undergrad,2024
106883,3,554,265,131,158,,2024
106883,11,847,321,157,369,,2024
106908,1,360,,,360,All Students,2024
106908,2,360,,,360,Undergrad,2024
106908,3,360,,,360,,2024
106980,1,1805,354,1223,228,All Students,2024
106980,2,1805,354,1223,228,Undergrad,2024
106980,3,1789,344,1220,225,,2024
106980,11,16,10,3,3,,2024
106999,1,1192,461,399,332,All Students,2024
106999,2,1192,461,399,332,Undergrad,2024
106999,3,751,299,312,140,,2024
106999,11,441,162,87,192,,2024
107044,1,4696,642,814,3240,All Students,2024
107044,2,3536,211,593,2732,Undergrad,2024
107044,3,3382,144,592,2646,,2024
107044,11,154,67,1,86,,2024
107044,12,1160,431,221,508,Graduate,2024
107071,1,2055,690,1169,196,All Students,2024
107071,2,1461,149,1139,173,Undergrad,2024
107071,3,1456,145,1138,173,,2024
107071,11,5,4,1,0,,2024
107071,12,594,541,30,23,Graduate,2024
107080,1,1110,,,1110,All Students,2024
107080,2,1100,,,1100,Undergrad,2024
107080,3,1100,,,1100,,2024
107080,12,10,,,10,Graduate,2024
107099,1,86,,,86,All Students,2024
107099,2,86,,,86,Undergrad,2024
107099,3,86,,,86,,2024
107123,1,92,,,92,All Students,2024
107123,2,92,,,92,Undergrad,2024
107123,3,92,,,92,,2024
107141,1,2350,321,477,1552,All Students,2024
107141,2,1948,193,397,1358,Undergrad,2024
107141,3,1471,128,395,948,,2024
107141,11,477,65,2,410,,2024
107141,12,402,128,80,194,Graduate,2024
107220,1,245,,,245,All Students,2024
107220,2,245,,,245,Undergrad,2024
107220,3,245,,,245,,2024
107293,1,52,,,52,All Students,2024
107293,2,52,,,52,Undergrad,2024
107293,3,52,,,52,,2024
107318,1,1022,204,243,575,All Students,2024
107318,2,1022,204,243,575,Undergrad,2024
107318,3,502,176,195,131,,2024
107318,11,520,28,48,444,,2024
