UNITID,PopCode,EFTOTLT,Population
188182,59,5,
188182,60,18,
188207,1,289,All Students
188207,12,289,Graduate
188207,21,186,
188207,32,186,
188207,41,103,
188207,52,103,
188216,1,215,All Students
188216,2,215,Undergrad
188216,3,215,
188216,4,54,
188216,5,161,
188216,19,14,
188216,20,147,
188216,21,166,
188216,22,166,
188216,23,166,
188216,24,49,
188216,25,117,
188216,39,11,
188216,40,106,
188216,41,49,
188216,42,49,
188216,43,49,
188216,44,5,
188216,45,44,
188216,59,3,
188216,60,41,
188225,1,896,All Students
188225,2,896,Undergrad
188225,3,377,
188225,4,104,
188225,5,273,
188225,11,519,
188225,19,28,
188225,20,245,
188225,21,181,
188225,22,181,
188225,23,170,
188225,24,61,
188225,25,109,
188225,31,11,
188225,39,11,
188225,40,98,
188225,41,715,
188225,42,715,
188225,43,207,
188225,44,43,
188225,45,164,
188225,51,508,
188225,59,17,
188225,60,147,
188261,1,563,All Students
188261,2,563,Undergrad
188261,3,411,
188261,4,140,
188261,5,271,
188261,11,152,
188261,19,140,
188261,20,131,
188261,21,92,
188261,22,92,
188261,23,87,
188261,24,38,
188261,25,49,
188261,31,5,
188261,39,23,
188261,40,26,
188261,41,471,
188261,42,471,
188261,43,324,
188261,44,102,
188261,45,222,
188261,51,147,
188261,59,117,
188261,60,105,
188289,1,55,All Students
188289,2,55,Undergrad
188289,3,55,
188289,4,7,
188289,5,48,
188289,20,48,
188289,21,26,
188289,22,26,
188289,23,26,
188289,24,4,
188289,25,22,
188289,40,22,
188289,41,29,
188289,42,29,
188289,43,29,
188289,44,3,
188289,45,26,
188289,60,26,
188304,1,3531,All Students
188304,2,2629,Undergrad
188304,3,2026,
188304,4,365,
188304,5,1661,
188304,11,603,
188304,12,902,Graduate
188304,19,229,
188304,20,1432,
188304,21,1623,
188304,22,1311,
188304,23,1249,
188304,24,297,
188304,25,952,
188304,31,62,
188304,32,312,
188304,39,139,
188304,40,813,
188304,41,1908,
188304,42,1318,
188304,43,777,
188304,44,68,
188304,45,709,
188304,51,541,
188304,52,590,
188304,59,90,
188304,60,619,
188340,1,1405,All Students
188340,2,1392,Undergrad
188340,3,1302,
188340,4,303,
188340,5,999,
188340,11,90,
188340,12,13,Graduate
188340,19,166,
188340,20,833,
188340,21,1083,
188340,22,1079,
188340,23,1076,
188340,24,279,
188340,25,797,
188340,31,3,
188340,32,4,
188340,39,147,
188340,40,650,
188340,41,322,
188340,42,313,
188340,43,226,
188340,44,24,
188340,45,202,
188340,51,87,
188340,52,9,
188340,59,19,
188340,60,183,
188429,1,7603,All Students
188429,2,5325,Undergrad
188429,3,5276,
188429,4,1343,
188429,5,3933,
188429,11,49,
188429,12,2278,Graduate
188429,19,262,
188429,20,3671,
188429,21,6362,
188429,22,5141,
188429,23,5129,
188429,24,1336,
188429,25,3793,
188429,31,12,
188429,32,1221,
188429,39,253,
188429,40,3540,
188429,41,1241,
188429,42,184,
188429,43,147,
188429,44,7,
188429,45,140,
188429,51,37,
188429,52,1057,
188429,59,9,
188429,60,131,
188438,1,2576,All Students
188438,2,2576,Undergrad
188438,3,1844,
188438,4,624,
188438,5,1220,
188438,11,732,
188438,19,97,
188438,20,1123,
188438,21,1274,
188438,22,1274,
188438,23,1251,
188438,24,534,
188438,25,717,
188438,31,23,
188438,39,63,
188438,40,654,
188438,41,1302,
188438,42,1302,
188438,43,593,
